munip_label,munip_nis,n_inhabitants,income_mean
Gerpinnes,52025,12660,20437
Manage,52043,23131,14369
Montigny-le-Tilleul,52048,10161,20268
Pont-à-Celles,52055,17290,18738
Seneffe,52063,11167,19071
Aiseau-Presles,52074,10864,15297
Les Bons Villers,52075,9401,20145
Boussu,53014,19773,13801
Dour,53020,16705,14657
Frameries,53028,21765,15085
Hensies,53039,6857,15043
Jurbeke,53044,10467,19540
Lens,53046,4466,17324
Bergen,53053,95220,15701
Quaregnon,53065,19041,13505
Quiévrain,53068,6752,14373
Saint-Ghislain,53070,23207,16843
Colfontaine,53082,20804,12878
Honnelles,53083,5183,18089
Quévy,53084,8191,18237
Moeskroen,54007,57773,15029
Komen-Waasten,54010,18102,14778
’s Gravenbrakel,55004,21532,18123
Edingen,55010,13563,18850
La Louvière,55022,80719,14226
Lessen,55023,18580,16444
Le Roeulx,55035,8552,18323
Opzullik,55039,8397,19629
Zinnik,55040,27447,17035
Ecaussinnes,55050,11010,17260
Anderlues,56001,12123,14760
Beaumont,56005,7095,16155
Binche,56011,33545,15727
Chimay,56016,9879,14814
Erquelinnes,56022,9932,14528
Froidchapelle,56029,3939,15394
Lobbes,56044,5777,18220
Merbes-le-Château,56049,4317,15982
Momignies,56051,5315,13704
Thuin,56078,14600,18234
Estinnes,56085,7736,17182
Ham-sur-Heure-Nalinnes,56086,13578,21294
Morlanwelz,56087,19013,15350
Sivry-Rance,56088,4850,15895
Antoing,57003,7829,15348
Celles (Doornik),57018,5667,16850
Estaimpuis,57027,10333,16501
Pecq,57062,5611,16691
Péruwelz,57064,17152,15411
Rumes,57072,5168,16606
Doornik,57081,69493,16897
Brunehaut,57093,8127,16029
Leuze-en-Hainaut,57094,13814,16866
Mont-de-l’Enclus,57095,3716,17543
Amay,61003,14264,16515
Burdinne,61010,3229,19521
Clavier,61012,4564,17448
Ferrières,61019,4876,18243
Hamoir,61024,3887,17157
Héron,61028,5225,19004
Hoei,61031,21301,16407
Marchin,61039,5391,18373
Modave,61041,4185,19088
Nandrin,61043,5821,22374
Ouffet,61048,2815,17523
Verlaine,61063,4155,19290
Villers-Le-Bouillet,61068,6530,18534
Wanze,61072,13643,18820
Anthisnes,61079,4175,19435
Engis,61080,6050,14967
Tinlot,61081,2675,19629
Ans,62003,28314,16112
Awans,62006,9259,18732
Aywaille,62009,12277,17555
Bitsingen,62011,9003,17827
Beyne-Heusay,62015,12011,15807
Chaudfontaine,62022,20885,23051
Comblain-au-Pont,62026,5370,16348
Dalhem,62027,7331,19722
Esneux,62032,12986,21045
Fléron,62038,16467,16641
Herstal,62051,39744,14294
Juprelle,62060,9209,19227
Luik,62063,197885,14503
Oupeye,62079,25055,17034
Saint-Nicolas (Luik),62093,24151,13218
Seraing,62096,64157,13810
Soumagne,62099,16798,17693
Sprimont,62100,14490,20574
Wezet,62108,17759,16787
Grâce-Hollogne,62118,22188,14921
Blégny,62119,13212,18892
Flémalle,62120,26166,15790
Neupré,62121,9892,23265
Trooz,62122,8232,18048
Amel,63001,5523,16519
Aubel,63003,4243,18346
Baelen,63004,4386,17905
Büllingen,63012,5489,15998
Bütgenbach,63013,5583,16370
Dison,63020,15260,11838
Eupen,63023,19461,17496
Herve,63035,17638,18327
Jalhay,63038,8563,19571
Kelmis,63040,10964,15975
Lierneux,63045,3607,16968
Limburg,63046,5990,16224
Lontzen,63048,5684,17900
Malmedy,63049,12503,16972
Olne,63057,3978,21005
Pepinster,63058,9807,16159
Raeren,63061,10611,19432
Sankt Vith,63067,9661,17573
Spa,63072,10345,17263
Stavelot,63073,7140,16946
Stoumont,63075,3119,18481
Theux,63076,12080,19067
Verviers,63079,55194,13878
Weismes,63080,7493,16118
Welkenraedt,63084,9887,17541
Trois-Ponts,63086,2507,16651
Burg-Reuland,63087,3944,16391
Plombières,63088,10342,16076
Thimister-Clermont,63089,5721,19350
Berloz,64008,3043,19394
Braives,64015,6272,18835
Crisnée,64021,3323,19626
Donceel,64023,3018,21013
Fexhe-le-Haut-Clocher,64025,3240,19923
Geer,64029,3373,19749
Hannuit,64034,16254,18807
Lijsem,64047,3292,19341
Oerle,64056,3898,18862
Remicourt,64063,5914,20025
Saint-Georges-sur-Meuse,64065,6684,17462
Borgworm,64074,15036,18730
Wasseiges,64075,2893,17601
Faimes,64076,3941,20506
As,71002,8210,18061
Beringen,71004,45704,16825
Diepenbeek,71011,19086,18908
Genk,71016,65986,15954
Gingelom,71017,8394,19500
Halen,71020,9511,19066
Hasselt,71022,77124,20169
Herk-de-Stad,71024,12694,19329
Leopoldsburg,71034,15526,17234
Lummen,71037,14662,19645
Nieuwerkerken (Hasselt),71045,6941,18724
Opglabbeek,71047,10318,17746
Sint-Truiden,71053,40169,18505
Tessenderlo,71057,18517,19342
Zonhoven,71066,21269,18768
Zutendaal,71067,7270,18790
Ham,71069,10733,18203
Heusden-Zolder,71070,33156,17036
Bocholt,72003,12949,16900
Bree,72004,15911,17580
Kinrooi,72018,12277,16598
Lommel,72020,33996,17653
Maaseik,72021,25233,17288
Neerpelt,72025,17128,17706
Overpelt,72029,15250,17644
Peer,72030,16427,17503
Hamont-Achel,72037,14427,16358
Hechtel-Eksel,72038,12276,17809
Houthalen-Helchteren,72039,30601,16125
Meeuwen-Gruitrode,72040,13057,17595
Dilsen-Stokkem,72041,20310,16577
Alken,73001,11495,19402
Bilzen,73006,32151,17898
Borgloon,73009,10668,18385
Heers,73022,7225,17930
